"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","pct_total","Year"
"1","24005","Baltimore County, Maryland","less10K",14546,825,315542,1309,5%,"2010"
"2","24005","Baltimore County, Maryland","est10K_15K",11473,765,315542,1309,4%,"2010"
"3","24005","Baltimore County, Maryland","est15K_20K",11878,639,315542,1309,4%,"2010"
"4","24005","Baltimore County, Maryland","est21K_25K",11582,692,315542,1309,4%,"2010"
"5","24005","Baltimore County, Maryland","est25K_30K",13529,960,315542,1309,4%,"2010"
"6","24005","Baltimore County, Maryland","est30K_35K",13889,811,315542,1309,4%,"2010"
"7","24005","Baltimore County, Maryland","est35K_40K",14720,876,315542,1309,5%,"2010"
"8","24005","Baltimore County, Maryland","est40K_45K",15152,900,315542,1309,5%,"2010"
"9","24005","Baltimore County, Maryland","est45K_50K",13242,803,315542,1309,4%,"2010"
"10","24005","Baltimore County, Maryland","est50K_60K",27904,1012,315542,1309,9%,"2010"
"11","24005","Baltimore County, Maryland","est60K_75K",35079,1233,315542,1309,11%,"2010"
"12","24005","Baltimore County, Maryland","est75K_100K",46250,1375,315542,1309,15%,"2010"
"13","24005","Baltimore County, Maryland","est100K_125K",31376,1109,315542,1309,10%,"2010"
"14","24005","Baltimore County, Maryland","est125K_150K",19378,798,315542,1309,6%,"2010"
"15","24005","Baltimore County, Maryland","est150K_200K",18586,861,315542,1309,6%,"2010"
"16","24005","Baltimore County, Maryland","more200K",16958,712,315542,1309,5%,"2010"
"17","24005","Baltimore County, Maryland","less10K",15094,881,312826,1614,5%,"2016"
"18","24005","Baltimore County, Maryland","est10K_15K",9624,651,312826,1614,3%,"2016"
"19","24005","Baltimore County, Maryland","est15K_20K",10599,663,312826,1614,3%,"2016"
"20","24005","Baltimore County, Maryland","est21K_25K",11554,699,312826,1614,4%,"2016"
"21","24005","Baltimore County, Maryland","est25K_30K",11952,751,312826,1614,4%,"2016"
"22","24005","Baltimore County, Maryland","est30K_35K",12996,766,312826,1614,4%,"2016"
"23","24005","Baltimore County, Maryland","est35K_40K",11802,699,312826,1614,4%,"2016"
"24","24005","Baltimore County, Maryland","est40K_45K",13171,760,312826,1614,4%,"2016"
"25","24005","Baltimore County, Maryland","est45K_50K",12444,754,312826,1614,4%,"2016"
"26","24005","Baltimore County, Maryland","est50K_60K",26016,1116,312826,1614,8%,"2016"
"27","24005","Baltimore County, Maryland","est60K_75K",33585,1179,312826,1614,11%,"2016"
"28","24005","Baltimore County, Maryland","est75K_100K",43225,1338,312826,1614,14%,"2016"
"29","24005","Baltimore County, Maryland","est100K_125K",33205,1103,312826,1614,11%,"2016"
"30","24005","Baltimore County, Maryland","est125K_150K",21766,862,312826,1614,7%,"2016"
"31","24005","Baltimore County, Maryland","est150K_200K",23451,910,312826,1614,7%,"2016"
"32","24005","Baltimore County, Maryland","more200K",22342,931,312826,1614,7%,"2016"
"33","24005","Baltimore County, Maryland","less10K",14344,938,312913,1531,5%,"2018"
"34","24005","Baltimore County, Maryland","est10K_15K",8309,643,312913,1531,3%,"2018"
"35","24005","Baltimore County, Maryland","est15K_20K",10120,637,312913,1531,3%,"2018"
"36","24005","Baltimore County, Maryland","est21K_25K",11101,764,312913,1531,4%,"2018"
"37","24005","Baltimore County, Maryland","est25K_30K",11031,697,312913,1531,4%,"2018"
"38","24005","Baltimore County, Maryland","est30K_35K",11525,745,312913,1531,4%,"2018"
"39","24005","Baltimore County, Maryland","est35K_40K",11334,798,312913,1531,4%,"2018"
"40","24005","Baltimore County, Maryland","est40K_45K",12570,715,312913,1531,4%,"2018"
"41","24005","Baltimore County, Maryland","est45K_50K",11834,799,312913,1531,4%,"2018"
"42","24005","Baltimore County, Maryland","est50K_60K",24357,1047,312913,1531,8%,"2018"
"43","24005","Baltimore County, Maryland","est60K_75K",31798,1122,312913,1531,10%,"2018"
"44","24005","Baltimore County, Maryland","est75K_100K",42543,1264,312913,1531,14%,"2018"
"45","24005","Baltimore County, Maryland","est100K_125K",34105,1334,312913,1531,11%,"2018"
"46","24005","Baltimore County, Maryland","est125K_150K",23955,916,312913,1531,8%,"2018"
"47","24005","Baltimore County, Maryland","est150K_200K",27079,910,312913,1531,9%,"2018"
"48","24005","Baltimore County, Maryland","more200K",26908,825,312913,1531,9%,"2018"
