Tract_2020,GEOID_Tract_2020,Community_Statistical_Area_2020,ObjectId
090100,24510090100,Greater Govans,1
250303,24510250303,Morrell Park/Violetville,2
240300,24510240300,Inner Harbor/Federal Hill,3
250401,24510250401,Brooklyn/Curtis Bay/Hawkins Point,4
250101,24510250101,Beechfield/Ten Hills/West Hills,5
250102,24510250102,Allendale/Irvington/S. Hilton,6
250402,24510250402,Brooklyn/Curtis Bay/Hawkins Point,7
272003,24510272003,Cross-Country/Cheswolde,8
250103,24510250103,Morrell Park/Violetville,9
250203,24510250203,Cherry Hill,10
280101,24510280101,Glen-Fallstaff,11
280102,24510280102,Howard Park/West Arlington,12
240400,24510240400,South Baltimore,13
250204,24510250204,Cherry Hill,14
280200,24510280200,Howard Park/West Arlington,15
280302,24510280302,Forest Park/Walbrook,16
060300,24510060300,Patterson Park North & East,17
120600,24510120600,Greater Charles Village/Barclay,18
030200,24510030200,Harbor East/Little Italy,19
040100,24510040100,Downtown/Seton Hill,20
260800,24510260800,Highlandtown,21
080800,24510080800,Oldtown/Middle East,22
040200,24510040200,Downtown/Seton Hill,23
060400,24510060400,Oldtown/Middle East,24
280600,24510280600,Poppleton/The Terraces/Hollins Market,25
260900,24510260900,Highlandtown,26
070100,24510070100,Madison/East End,27
070200,24510070200,Madison/East End,28
260605,24510260605,Southeastern,29
230200,24510230200,Inner Harbor/Federal Hill,30
070300,24510070300,Madison/East End,31
070400,24510070400,Oldtown/Middle East,32
261100,24510261100,Highlandtown,33
250500,24510250500,Brooklyn/Curtis Bay/Hawkins Point,34
250600,24510250600,Brooklyn/Curtis Bay/Hawkins Point,35
270501,24510270501,Hamilton Hills,36
160200,24510160200,Sandtown-Winchester/Harlem Park,37
260101,24510260101,Cedonia/Frankford,38
260102,24510260102,Cedonia/Frankford,39
270101,24510270101,Greater Lauraville,40
270102,24510270102,Greater Lauraville,41
260201,24510260201,Cedonia/Frankford,42
280401,24510280401,Beechfield/Ten Hills/West Hills,43
100100,24510100100,Oliver/Johnson Square,44
270200,24510270200,Greater Lauraville,45
280403,24510280403,Beechfield/Ten Hills/West Hills,46
280404,24510280404,Allendale/Irvington/S. Hilton,47
130300,24510130300,Penn North/Reservoir Hill,48
270301,24510270301,Greater Lauraville,49
080101,24510080101,Belair-Edison,50
080102,24510080102,Belair-Edison,51
270302,24510270302,Greater Lauraville,52
060100,24510060100,Patterson Park North & East,53
080200,24510080200,Clifton-Berea,54
080302,24510080302,Clifton-Berea,55
270600,24510270600,Hamilton Hills,56
270401,24510270401,Hamilton,57
080400,24510080400,Clifton-Berea,58
080500,24510080500,Clifton-Berea,59
270402,24510270402,Hamilton,60
270502,24510270502,Hamilton,61
080600,24510080600,Oliver/Johnson Square,62
090500,24510090500,The Waverlies,63
280301,24510280301,Dickeyville/Franklintown,64
151200,24510151200,Southern Park Heights,65
200701,24510200701,Allendale/Irvington/S. Hilton,66
090600,24510090600,Midway/Coldstream,67
160100,24510160100,Sandtown-Winchester/Harlem Park,68
151300,24510151300,Southern Park Heights,69
090700,24510090700,Midway/Coldstream,70
260403,24510260403,Orchard Ridge/Armistead,71
130200,24510130200,Penn North/Reservoir Hill,72
130400,24510130400,Penn North/Reservoir Hill,73
200800,24510200800,Allendale/Irvington/S. Hilton,74
260402,24510260402,Orchard Ridge/Armistead,75
160400,24510160400,Sandtown-Winchester/Harlem Park,76
270903,24510270903,Northwood,77
130600,24510130600,Hampden/Remington,78
260404,24510260404,Greektown/Bayview,79
130700,24510130700,Hampden/Remington,80
271001,24510271001,Greater Govans,81
160700,24510160700,Greater Rosemont,82
260501,24510260501,Greektown/Bayview,83
130803,24510130803,Hampden/Remington,84
271002,24510271002,Greater Govans,85
160801,24510160801,Edmondson Village,86
090800,24510090800,Midway/Coldstream,87
130804,24510130804,Hampden/Remington,88
271101,24510271101,North Baltimore/Guilford/Homeland,89
160802,24510160802,Edmondson Village,90
100200,24510100200,Oldtown/Middle East,91
270702,24510270702,Hamilton Hills,92
271102,24510271102,North Baltimore/Guilford/Homeland,93
130805,24510130805,Mount Washington/Coldspring,94
100300,24510100300,Unassigned -- Jail,95
270801,24510270801,Loch Raven,96
271200,24510271200,North Baltimore/Guilford/Homeland,97
250205,24510250205,Westport/Mount Winans/Lakeland,98
110100,24510110100,Midtown,99
270703,24510270703,Hamilton Hills,100
271300,24510271300,Greater Roland Park/Poplar Hill,101
150100,24510150100,Sandtown-Winchester/Harlem Park,102
110200,24510110200,Midtown,103
270802,24510270802,Loch Raven,104
120100,24510120100,North Baltimore/Guilford/Homeland,105
090900,24510090900,Oliver/Johnson Square,106
120300,24510120300,Greater Charles Village/Barclay,107
271400,24510271400,Greater Roland Park/Poplar Hill,108
120500,24510120500,Midtown,109
120400,24510120400,Greater Charles Village/Barclay,110
210100,24510210100,Pigtown/Carroll Park,111
271501,24510271501,Mount Washington/Coldspring,112
220100,24510220100,Inner Harbor/Federal Hill,113
270701,24510270701,Hamilton Hills,114
230300,24510230300,South Baltimore,115
080301,24510080301,Clifton-Berea,116
240100,24510240100,South Baltimore,117
120700,24510120700,Hampden/Remington,118
210200,24510210200,Pigtown/Carroll Park,119
010200,24510010200,Patterson Park North & East,120
240200,24510240200,Inner Harbor/Federal Hill,121
130100,24510130100,Penn North/Reservoir Hill,122
271600,24510271600,Southern Park Heights,123
271801,24510271801,Pimlico/Arlington/Hilltop,124
271700,24510271700,Pimlico/Arlington/Hilltop,125
170100,24510170100,Downtown/Seton Hill,126
230100,24510230100,Inner Harbor/Federal Hill,127
150900,24510150900,Forest Park/Walbrook,128
140100,24510140100,Midtown,129
080700,24510080700,Oliver/Johnson Square,130
170200,24510170200,Upton/Druid Heights,131
261000,24510261000,Patterson Park North & East,132
260700,24510260700,Greektown/Bayview,133
170300,24510170300,Upton/Druid Heights,134
160300,24510160300,Sandtown-Winchester/Harlem Park,135
190200,24510190200,Southwest Baltimore,136
060200,24510060200,Patterson Park North & East,137
200702,24510200702,Allendale/Irvington/S. Hilton,138
190300,24510190300,Southwest Baltimore,139
120202,24510120202,Greater Charles Village/Barclay,140
272007,24510272007,Glen-Fallstaff,141
272005,24510272005,Cross-Country/Cheswolde,142
200100,24510200100,Southwest Baltimore,143
120201,24510120201,Greater Charles Village/Barclay,144
200200,24510200200,Southwest Baltimore,145
272004,24510272004,Cross-Country/Cheswolde,146
200300,24510200300,Southwest Baltimore,147
272006,24510272006,Glen-Fallstaff,148
200400,24510200400,Southwest Baltimore,149
280500,24510280500,Oldtown/Middle East,150
270803,24510270803,Loch Raven,151
260604,24510260604,Southeastern,152
260202,24510260202,Cedonia/Frankford,153
270805,24510270805,Chinquapin Park/Belvedere,154
280402,24510280402,Edmondson Village,155
260203,24510260203,Cedonia/Frankford,156
270901,24510270901,Northwood,157
010100,24510010100,Canton,158
260301,24510260301,Belair-Edison,159
270902,24510270902,Northwood,160
010300,24510010300,Canton,161
260302,24510260302,Belair-Edison,162
270804,24510270804,Chinquapin Park/Belvedere,163
010400,24510010400,Canton,164
260303,24510260303,Orchard Ridge/Armistead,165
271503,24510271503,Greater Roland Park/Poplar Hill,166
010500,24510010500,Fells Point,167
260401,24510260401,Orchard Ridge/Armistead,168
180300,24510180300,Poppleton/The Terraces/Hollins Market,169
020100,24510020100,Fells Point,170
090200,24510090200,Northwood,171
190100,24510190100,Southwest Baltimore,172
020200,24510020200,Fells Point,173
090300,24510090300,The Waverlies,174
200500,24510200500,Southwest Baltimore,175
020300,24510020300,Fells Point,176
090400,24510090400,The Waverlies,177
200600,24510200600,Allendale/Irvington/S. Hilton,178
030100,24510030100,Harbor East/Little Italy,179
160500,24510160500,Greater Rosemont,180
130806,24510130806,Hampden/Remington,181
140200,24510140200,Upton/Druid Heights,182
140300,24510140300,Upton/Druid Heights,183
150200,24510150200,Sandtown-Winchester/Harlem Park,184
150300,24510150300,Greater Rosemont,185
150400,24510150400,Greater Mondawmin,186
150500,24510150500,Greater Mondawmin,187
150600,24510150600,Greater Rosemont,188
150701,24510150701,Greater Mondawmin,189
150702,24510150702,Greater Mondawmin,190
160600,24510160600,Greater Rosemont,191
271802,24510271802,Pimlico/Arlington/Hilltop,192
271900,24510271900,Glen-Fallstaff,193
151000,24510151000,Dorchester/Ashburton,194
151100,24510151100,Dorchester/Ashburton,195
150800,24510150800,Forest Park/Walbrook,196
250206,24510250206,Morrell Park/Violetville,197
250207,24510250207,Cherry Hill,198
250301,24510250301,Westport/Mount Winans/Lakeland,199
