"primary_city","total"
"Baltimore",889
"Dundalk",283
"Pasadena",163
"Middle River",114
"Essex",112
"Glen Burnie",111
"Rosedale",102
"Parkville",99
"Gwynn Oak",94
"Sparrows Point",92
"Nottingham",65
"Windsor Mill",65
"Brooklyn",62
"Randallstown",54
"Owings Mills",49
"Bel Air",47
"Abingdon",46
"Catonsville",44
"Edgewood",43
"Halethorpe",38
"Aberdeen",36
"Columbia",36
"Joppa",33
"Perry Hall",31
"Pikesville",29
"Severn",26
"Linthicum Heights",23
"Hanover",20
"Towson",19
"Reisterstown",18
"Laurel",15
"Curtis Bay",14
"Ellicott City",14
"Westminster",14
"Elkridge",13
"Havre De Grace",13
"Centreville",12
"Cockeysville",12
"Elkton",12
"Forest Hill",12
"York",12
"Sykesville",11
"Severna Park",10
"White Marsh",10
"Lutherville Timonium",9
"Belcamp",8
"Bowie",8
"Fallston",8
"Silver Spring",8
"Stevensville",8
"Jarrettsville",7
"Upper Marlboro",7
"Chester",6
"Glen Arm",6
"Hyattsville",6
"Lanham",6
"Manchester",6
"Millersville",6
"North East",6
"Burtonsville",5
"Chestertown",5
"Delta",5
"Finksburg",5
"Kingsville",5
"Port Deposit",5
"Beltsville",4
"Fort Howard",4
"Germantown",4
"Hampstead",4
"Jessup",4
"Mechanicsburg",4
"New Freedom",4
"Newark",4
"Shrewsbury",4
"Street",4
"Washington",4
"Woodstock",4
"Annapolis",3
"Easton",3
"Frederick",3
"Hagerstown",3
"Pylesville",3
"Rising Sun",3
"White Hall",3
"Whiteford",3
"Wilmington",3
"Woodbridge",3
"Arnold",2
"Baldwin",2
"Bishopville",2
"Clear Spring",2
"Crofton",2
"Deale",2
"District Heights",2
"Everett",2
"Fairbank",2
"Fayetteville",2
"Hancock",2
"Marydel",2
"Milford",2
"Monkton",2
"Odenton",2
"Parkton",2
"Rockville",2
"Seven Valleys",2
"Spring Grove",2
"Townsend",2
"Upperco",2
"Waldorf",2
"Ashburn",1
"Bear",1
"Bedford",1
"Berryville",1
"Bethesda",1
"Brooklandville",1
"Butler",1
"Camp Hill",1
"Capitol Heights",1
"Carlisle",1
"Church Hill",1
"Churchton",1
"Churchville",1
"Clinton",1
"Coatesville",1
"Conowingo",1
"Cumberland",1
"Dallastown",1
"Darlington",1
"Davidsonville",1
"Denton",1
"Derwood",1
"Du Bois",1
"Edgewater",1
"Fairfield",1
"Falls Church",1
"Fawn Grove",1
"Federalsburg",1
"Felton",1
"Fort George G Meade",1
"Frostburg",1
"Fulton",1
"Gaithersburg",1
"Galena",1
"Gambrills",1
"Grasonville",1
"Greensboro",1
"Halifax",1
"Haymarket",1
"Hughesville",1
"Hurlock",1
"Hydes",1
"Keymar",1
"Kinston",1
"La Plata",1
"Lancaster",1
"Lilburn",1
"Little Orleans",1
"Lorton",1
"Markleysburg",1
"Martinsburg",1
"Mechanicsville",1
"Middletown",1
"Millersburg",1
"Millsboro",1
"Minneapolis",1
"Montgomery Village",1
"Nanjemoy",1
"New Market",1
"New Paris",1
"Olney",1
"Oxon Hill",1
"Perryville",1
"Philadelphia",1
"Phoenix",1
"Port Saint Lucie",1
"Queenstown",1
"Red Lion",1
"Ridgely",1
"Salem",1
"Savage",1
"Seaford",1
"Sharpsburg",1
"Smyrna",1
"Springfield",1
"Stafford",1
"Stewartstown",1
"Sudlersville",1
"Suitland",1
"Taneytown",1
"Temple Hills",1
"Thurmont",1
"Tilghman",1
"Upper Falls",1
"Vienna",1
"Waynesboro",1
"Wellington",1
"York Haven",1
NA,1
